time_s,P1_high_psi,P2_high_psi,P3_high_psi,P4_high_psi
0.000000,-6.231,-6.934,459.252,174.009
0.215000,-6.465,-6.465,459.252,174.009
0.229974,-6.465,-6.700,459.252,174.478
0.244960,-6.465,-6.934,459.486,174.243
0.259946,-6.700,-6.231,459.252,174.243
0.274932,-7.169,-6.700,459.017,174.009
0.289918,-6.700,-6.700,459.017,174.478
0.304904,-6.465,-6.465,459.017,174.009
0.319890,-6.465,-6.934,459.721,174.478
0.334876,-6.465,-6.700,459.486,174.009
0.349862,-6.465,-6.465,459.252,174.243
0.565000,-6.465,-6.465,459.017,174.478
0.579974,-6.465,-5.997,459.721,173.774
0.594960,-6.465,-6.231,459.017,174.009
0.609946,-6.231,-6.700,459.017,174.478
0.624932,-6.465,-6.465,458.783,173.774
0.639918,-6.700,-6.934,459.486,174.243
0.654904,-6.465,-6.934,459.017,174.243
0.669890,-6.465,-6.465,459.252,174.478
0.684876,-6.700,-6.700,459.252,174.478
0.699862,-6.465,-6.934,459.017,174.243
0.915000,-6.700,-6.465,459.486,174.009
0.929974,-6.700,-6.700,459.252,174.009
0.944960,-6.700,-6.465,459.486,174.243
0.959946,-6.700,-6.700,459.017,173.774
0.974932,-6.231,-6.934,459.252,174.009
0.989918,-6.231,-5.997,459.252,174.243
1.004904,-6.465,-6.231,459.017,174.243
1.019890,-6.700,-6.700,459.017,174.009
1.034876,-6.465,-6.231,459.252,173.774
1.049862,-6.700,-6.934,459.486,173.774
1.265000,-6.700,-6.934,459.486,174.243
1.279974,-6.700,-6.700,459.017,174.478
1.294960,-5.997,-6.934,458.783,173.774
1.309946,-6.231,-6.465,459.017,174.009
1.324932,-6.700,-6.700,459.017,174.009
1.339918,-6.700,-6.700,458.783,174.243
1.354904,-6.231,-6.231,459.017,174.712
1.369890,-6.465,-6.700,459.017,174.243
1.384876,-6.700,-6.700,459.486,173.774
1.399862,-6.700,-6.934,459.252,174.243
1.615001,-6.934,-6.465,459.486,174.009
1.629974,-6.700,-6.934,458.783,174.243
1.644960,-6.465,-5.997,459.252,174.009
1.659946,-6.700,-6.465,459.252,174.243
1.674932,-6.700,-6.934,459.017,174.243
1.689918,-6.231,-6.465,459.486,174.009
1.704904,-6.465,-6.231,459.252,173.774
1.719890,-6.700,-6.934,459.252,174.243
1.734876,-6.465,-6.465,459.017,174.243
1.749862,-6.465,-6.700,459.486,174.243
1.965000,-6.465,-6.700,459.017,174.009
1.979974,-6.700,-6.700,458.549,174.243
1.994960,-6.231,-6.231,459.017,174.009
2.009946,-6.465,-6.700,459.486,174.243
2.024932,-6.231,-6.231,459.017,174.009
2.039918,-6.700,-6.465,459.252,174.478
2.054904,-6.934,-6.700,459.252,174.243
2.069890,-6.465,-6.465,459.017,174.478
2.084876,-6.700,-6.700,459.017,174.009
2.099862,-6.700,-6.700,459.252,174.243
2.315000,-6.465,-6.465,459.017,174.478
2.329974,-5.997,-6.700,459.252,174.243
2.344960,-6.465,-6.465,459.252,174.243
2.359946,-6.934,-6.700,459.017,173.774
2.374932,-6.700,-6.700,459.252,174.009
2.389918,-6.231,-6.700,459.252,173.540
2.404904,-6.700,-6.465,459.017,174.009
2.419890,-6.465,-6.231,459.486,174.243
2.434876,-6.465,-6.465,459.252,174.478
2.449862,-6.231,-6.465,459.955,174.009
2.665001,-6.465,-6.700,459.486,173.774
2.679974,-6.700,-6.700,459.486,174.009
2.694960,-6.465,-6.700,459.252,174.009
2.709946,-6.700,-6.465,459.252,174.478
2.724932,-6.465,-6.934,459.017,174.243
2.739918,-6.465,-7.169,459.486,174.243
2.754904,-6.465,-6.700,459.252,174.478
2.769890,-6.465,-6.465,459.017,174.009
2.784876,-6.465,-6.465,459.486,174.243
2.799862,-6.465,-6.465,459.017,173.774
3.015000,-6.934,-6.465,459.252,174.009
3.029974,-7.169,-6.700,459.017,174.009
3.044960,-6.700,-6.700,459.017,174.009
3.059946,-5.762,-6.465,459.252,174.478
3.074932,-6.700,-6.700,458.783,174.009
3.089918,-6.700,-6.700,459.017,174.478
3.104904,-6.934,-6.700,459.252,174.009
3.119890,-6.465,-6.465,459.017,174.243
3.134876,-6.465,-6.231,459.252,174.243
3.149862,-6.700,-6.231,459.486,174.478
3.365000,-6.700,-6.700,459.017,174.243
3.379974,-6.700,-6.465,459.486,174.009
3.394960,-6.465,-6.700,459.252,174.243
3.409946,-6.465,-6.465,459.252,174.243
3.424932,-6.465,-6.934,458.783,174.009
3.439918,-6.700,-6.700,459.252,174.009
3.454904,-6.700,-6.231,459.017,174.478
3.469890,-7.169,-6.465,459.017,174.478
3.484876,-6.700,-6.934,459.252,174.478
3.499862,-6.465,-6.465,459.486,174.243
3.715000,-6.465,-6.700,459.486,174.243
3.729974,-6.934,-6.934,459.017,174.243
3.744960,-6.700,-6.934,459.252,174.009
3.759946,-6.231,-6.465,459.017,173.540
3.774932,-6.465,-6.700,459.721,173.774
3.789918,-6.465,-6.465,459.017,174.712
3.804904,-6.465,-6.934,459.252,173.774
3.819890,-6.465,-6.465,459.017,174.243
3.834876,-6.700,-6.465,459.017,173.774
3.849862,-7.169,-6.465,458.783,174.009
4.065000,-6.700,-6.465,459.017,173.774
4.079974,-6.934,-6.934,459.252,174.243
4.094960,-6.465,-6.700,459.252,174.243
4.109946,-6.465,-6.700,459.017,174.478
4.124932,-6.934,-6.465,459.252,174.009
4.139918,-6.465,-6.934,459.252,174.009
4.154904,-6.231,-6.465,458.783,174.243
4.169890,-6.465,-6.700,459.721,173.774
4.184876,-6.700,-6.700,459.252,173.774
4.199862,-6.700,-6.934,459.252,174.478
4.415001,-6.700,-6.465,459.721,174.478
4.429974,-6.465,-6.465,459.486,174.243
4.444960,-6.934,-6.700,459.486,174.243
4.459946,-6.465,-6.465,459.017,174.712
4.474932,-6.700,-6.934,459.252,174.478
4.489918,-6.700,-6.465,459.017,174.009
4.504904,-6.231,-6.465,459.017,174.243
4.519890,-6.465,-6.700,459.486,173.774
4.534876,-6.934,-7.169,459.017,174.009
4.549862,-6.231,-6.700,459.721,174.243
4.765000,-6.934,-6.700,459.252,174.009
4.779974,-6.465,-6.465,459.486,173.774
4.794960,-6.700,-6.465,459.486,173.774
4.809946,-6.465,-6.465,459.252,174.712
4.824932,-6.465,-6.700,459.486,174.243
4.839918,-6.934,-6.934,459.017,174.478
4.854904,-6.700,-6.465,458.783,174.712
4.869890,-6.231,-6.700,459.486,174.243
4.884876,-6.465,-6.465,459.252,174.009
4.899862,-6.700,-6.700,459.017,173.306
5.115001,-6.231,-6.465,459.017,174.009
5.129974,-6.700,-6.231,459.486,174.478
5.144960,-6.700,-6.700,459.486,174.478
5.159946,-6.465,-6.700,459.252,174.712
5.174932,-6.934,-6.700,459.252,173.774
5.189918,-6.700,-6.465,459.252,174.478
5.204904,-6.465,-6.934,459.252,174.009
5.219890,-6.465,-6.934,459.252,174.009
5.300999,-6.231,-6.465,459.017,174.243
5.400999,-6.700,-6.231,459.486,173.774
5.617000,-6.465,-6.465,459.252,173.774
5.631974,-6.934,-6.700,459.252,174.243
5.700999,-6.231,-6.231,459.252,174.009
5.800999,-6.465,-6.700,459.252,174.243
5.900999,-6.700,-6.700,458.783,174.009
6.000999,-6.465,-6.700,459.486,173.540
6.100999,-5.997,-6.231,459.252,173.306
6.200999,-6.465,-6.934,459.017,174.243
6.300999,-6.934,-6.934,459.486,173.774
6.400999,-6.700,-6.700,459.252,173.774
6.617000,-6.700,-6.700,459.252,173.774
6.631974,-6.700,-7.403,458.783,174.243
6.700999,-6.700,-6.934,459.252,174.009
6.800999,-6.465,-6.700,459.252,174.243
6.900999,-6.465,-6.465,459.486,174.009
7.000999,-6.700,-6.700,459.252,174.243
7.100999,-6.934,-6.700,458.783,173.774
7.200999,-6.700,-6.700,459.486,174.009
7.300999,-6.231,-6.700,459.017,174.009
7.400999,-6.231,-7.169,459.252,173.540
7.616000,-6.465,-6.934,459.486,174.478
7.630974,-6.700,-6.934,459.017,174.009
7.700999,-6.465,-6.934,459.252,174.009
7.800999,-6.465,-6.465,459.252,174.243
7.900999,-6.231,-6.231,459.486,174.009
8.000999,-6.934,-6.700,459.252,174.243
8.100999,-6.231,-6.231,459.252,173.306
8.200999,-6.700,-6.700,459.486,173.540
8.300999,-6.231,-6.700,459.252,174.009
8.400999,-6.231,-6.700,459.955,174.478
8.617001,-6.465,-6.700,459.017,173.774
8.631974,-6.231,-6.700,459.017,174.009
8.700999,-6.231,-6.231,459.017,174.009
8.800999,-6.934,-6.934,459.252,173.306
8.900999,-6.700,-6.700,459.486,174.243
9.000999,-6.465,-6.465,459.721,173.774
9.100999,-6.700,-6.700,459.252,174.009
9.200999,-6.934,-6.465,459.252,174.009
9.300999,-6.231,-6.465,459.252,174.243
9.400999,-6.934,-6.231,459.252,174.009
9.617000,-6.700,-6.700,459.486,174.009
9.631974,-6.700,-6.465,459.017,174.009
9.700999,-6.465,-6.934,458.783,174.009
9.800999,-6.231,-6.465,458.783,173.774
9.900999,-6.934,-6.700,459.252,174.243
10.000999,-6.700,-6.465,459.252,174.243
10.100999,-6.934,-6.934,459.252,173.774
10.200999,-6.934,-6.700,459.486,174.243
10.300999,-6.934,-6.465,459.252,173.774
10.400999,-6.465,-6.934,459.252,174.712
10.617000,-7.169,-6.700,459.486,173.774
10.631974,-6.700,-6.465,459.017,174.009
10.700999,-6.934,-6.700,459.252,174.478
10.800999,-6.231,-6.700,459.252,174.243
10.900999,-6.934,-6.465,459.252,174.243
11.000999,-6.700,-6.465,459.721,174.009
11.100999,-6.465,-6.700,459.486,174.243
11.200999,-6.934,-6.465,458.783,174.243
11.300999,-6.231,-6.700,459.252,173.540
11.400999,-6.934,-6.700,459.017,174.009
11.617000,-6.700,-6.465,459.486,173.774
11.631974,-6.465,-6.465,459.252,173.306
11.700999,-6.231,-6.231,459.252,174.009
11.800999,-6.465,-6.465,459.252,174.243
11.900999,-6.465,-6.465,459.721,173.540
12.000999,-6.465,-6.700,459.017,174.009
12.100999,-6.465,-6.465,459.017,173.306
12.200999,-6.465,-6.934,459.252,174.009
12.300999,-6.934,-6.700,459.017,174.009
12.400999,-6.700,-7.169,459.252,174.009
12.617001,-6.231,-6.934,459.252,174.243
12.631974,-6.700,-6.465,459.017,174.478
12.700999,-7.169,-6.465,459.955,174.009
12.800999,-6.231,-6.465,459.252,173.774
12.900999,-6.231,-6.700,459.017,174.009
13.000999,-6.231,-6.700,459.252,174.243
13.100999,-6.700,-6.700,459.252,173.774
13.200999,-6.700,-6.465,459.017,173.774
13.300999,-6.465,-6.934,459.017,173.774
13.400999,-6.700,-6.465,459.486,173.774
13.617000,-6.934,-6.700,459.955,173.306
13.631974,-6.465,-6.700,459.252,174.009
13.700999,-6.465,-5.997,459.486,174.243
13.800999,-6.700,-6.700,459.486,174.243
13.900999,-6.700,-6.231,459.017,174.243
14.000999,-6.465,-6.700,459.017,173.540
14.100999,-6.465,-6.700,459.721,174.243
14.200999,-6.700,-6.700,459.486,174.009
14.300999,-7.169,-6.700,459.017,174.009
14.400999,-6.700,-6.700,459.017,173.540
14.617000,-6.700,-6.700,459.252,173.774
14.631974,-5.997,-6.465,459.017,174.009
14.700999,-6.934,-7.169,459.017,173.540
14.800999,-6.465,-6.465,459.252,173.540
14.900999,-6.700,-6.465,459.252,173.774
15.000999,-6.231,-6.465,459.017,173.774
15.100999,-6.700,-6.700,459.017,174.009
15.200999,-6.465,-6.700,459.017,173.774
15.300999,-6.934,-6.465,459.721,174.009
15.400999,-6.465,-6.465,459.252,173.774
15.616000,-6.231,-6.700,458.783,174.009
15.630974,-6.465,-6.465,459.486,173.774
15.700999,-6.465,-6.934,459.252,173.540
15.800999,-6.465,-7.169,459.252,173.774
15.900999,-6.700,-6.465,459.252,173.540
16.000999,-6.934,-6.465,459.017,173.774
16.100999,-6.934,-6.934,459.486,173.774
16.200999,-6.700,-6.465,459.252,173.774
16.300999,-6.465,-6.465,459.252,173.774
16.400999,-6.465,-6.700,459.252,173.774
16.617000,-6.700,-6.465,459.017,173.540
