t_sec,timestamp,seq,solenoids,P_0,P_1,P_2,P_3
0.0,30169633,360,0,-5.76,-2.87,-2.59,-2.68
0.568,30737633,370,0,-5.76,-2.87,-2.59,-2.87
1.136,31305633,380,0,-6.0,-2.96,-2.59,-2.68
3.408,33577633,420,0,-5.76,-2.77,-2.59,-2.59
3.976001,34145634,430,0,-5.53,-2.87,-2.59,-2.68
4.544,34713633,440,0,-5.76,-2.87,-2.59,-2.68
5.112,35281633,450,0,-5.76,-2.77,-2.49,-2.59
7.392,37561633,490,0,-5.53,-2.87,-2.59,-2.59
7.96,38129633,500,0,-5.76,-2.96,-2.49,-2.59
8.528,38697633,510,0,-5.76,-2.87,-2.4,-2.68
9.663999,39833632,530,0,-5.76,-2.96,-2.59,-2.68
10.231999,40401632,540,0,-6.0,-2.96,-2.59,-2.68
10.799998,40969631,550,0,-5.76,-2.87,-2.59,-2.68
11.367998,41537631,560,0,-5.53,-2.87,-2.59,-2.68
11.949528,42119161,570,0,-5.76,-2.96,-2.68,-2.59
13.085396,43255029,590,0,-5.76,-2.77,-2.59,-2.59
13.652999,43822632,600,0,-5.53,-2.87,-2.68,-2.59
14.221,44390633,610,0,-5.76,-2.96,-2.59,-2.68
14.788999,44958632,620,0,-5.76,-2.77,-2.49,-2.59
15.924998,46094631,640,0,-5.76,-2.87,-2.68,-2.68
16.492999,46662632,650,0,-6.0,-2.87,-2.59,-2.68
17.060999,47230632,660,0,-5.76,-2.96,-2.49,-2.59
18.204922,48374555,680,0,-5.53,-2.87,-2.59,-2.68
18.772999,48942632,690,0,-5.76,-2.87,-2.68,-2.59
19.340998,49510631,700,0,-6.0,-2.96,-2.68,-2.77
19.908998,50078631,710,0,-6.0,-2.96,-2.68,-2.87
20.476998,50646631,720,0,-5.76,-2.87,-2.68,-2.68
21.044999,51214632,730,0,-5.76,-2.96,-2.77,-2.77
21.612999,51782632,740,0,-5.76,-2.96,-2.68,-2.77
22.180999,52350632,750,0,-5.76,-2.96,-2.68,-2.77
22.748999,52918632,760,0,-5.53,-2.96,-2.77,-2.77
23.316999,53486632,770,0,-6.0,-2.77,-2.59,-2.59
23.885,54054633,780,0,-5.76,-2.87,-2.68,-2.68
24.453,54622633,790,0,-5.76,-2.96,-2.59,-2.68
25.02876,55198393,800,0,-5.76,-2.96,-2.68,-2.59
25.597,55766633,810,0,-5.76,-2.77,-2.59,-2.68
26.165,56334633,820,0,-6.0,-2.87,-2.68,-2.77
26.733,56902633,830,0,-5.76,-2.87,-2.49,-2.59
27.301,57470633,840,0,-5.76,-2.96,-2.68,-2.77
27.869,58038633,850,0,-5.76,-2.96,-2.68,-2.77
28.437001,58606634,860,0,-5.76,-2.87,-2.68,-2.59
29.005,59174633,870,0,-5.53,-2.87,-2.59,-2.68
29.573,59742633,880,0,-6.0,-2.96,-2.59,-2.59
30.141,60310633,890,0,-5.76,-2.77,-2.59,-2.59
30.709,60878633,900,0,-5.76,-2.87,-2.4,-2.59
31.285289,61454922,910,0,-5.53,-2.87,-2.68,-2.59
31.853,62022633,920,0,-5.76,-2.87,-2.49,-2.68
32.421001,62590634,930,0,-5.53,-2.77,-2.59,-2.68
32.989,63158633,940,0,-5.53,-2.96,-2.59,-2.68
33.557,63726633,950,0,-5.76,-2.87,-2.59,-2.59
34.125,64294633,960,0,-6.0,-2.96,-2.68,-2.68
34.693,64862633,970,0,-6.0,-2.96,-2.68,-2.77
35.261,65430633,980,0,-5.76,-2.87,-2.68,-2.68
35.829,65998633,990,0,-6.0,-2.96,-2.68,-2.77
36.397,66566633,1000,0,-5.53,-2.87,-2.68,-2.68
36.965001,67134634,1010,0,-5.76,-2.96,-2.59,-2.77
37.546608,67716241,1020,0,-5.76,-2.96,-2.68,-2.68
38.114999,68284632,1030,0,-5.76,-2.96,-2.77,-2.77
38.682999,68852632,1040,0,-6.0,-2.96,-2.68,-2.77
39.250998,69420631,1050,0,-6.0,-2.96,-2.68,-2.77
39.818998,69988631,1060,0,-5.76,-2.96,-2.68,-2.68
40.386999,70556632,1070,0,-6.0,-2.96,-2.68,-2.77
40.954999,71124632,1080,0,-5.76,-2.87,-2.68,-2.77
41.522999,71692632,1090,0,-5.76,-2.87,-2.68,-2.68
42.090999,72260632,1100,0,-5.76,-2.96,-2.68,-2.77
42.658998,72828631,1110,0,-5.76,-2.87,-2.68,-2.68
43.226999,73396632,1120,0,-6.0,-2.96,-2.68,-2.77
43.794999,73964632,1130,0,-5.76,-3.05,-2.68,-2.77
44.369999,74539632,1140,0,-5.76,-2.96,-2.68,-2.77
44.937998,75107631,1150,0,-6.0,-2.96,-2.77,-2.68
45.505999,75675632,1160,0,-6.0,-2.96,-2.68,-2.68
