t_sec,timestamp,seq,solenoids,P_0,P_1,P_2,P_3
0.0,369623685,6330,0,-5.53,-2.87,-2.68,-2.77
0.567948,370191633,6340,0,-5.53,-2.77,-2.59,-2.59
1.135948,370759633,6350,0,-5.53,-2.87,-2.49,-2.77
2.271947,371895632,6370,0,-5.76,-2.87,-2.68,-2.77
2.839947,372463632,6380,0,-5.76,-2.87,-2.49,-2.59
3.407949,373031634,6390,0,-5.53,-2.77,-2.59,-2.59
3.975948,373599633,6400,0,-5.76,-2.87,-2.68,-2.87
4.54395,374167635,6410,0,-5.53,-2.87,-2.68,-2.77
5.111947,374735632,6420,0,-5.76,-2.96,-2.68,-2.68
6.247949,375871634,6440,0,-5.76,-2.77,-2.59,-2.68
6.822069,376445754,6450,0,-5.53,-2.77,-2.59,-2.68
8.52595,378149635,6480,0,-6.0,-2.96,-2.68,-2.68
9.661947,379285632,6500,0,-5.76,-2.87,-2.68,-2.77
10.229947,379853632,6510,0,-6.0,-2.96,-2.68,-2.77
10.79795,380421635,6520,0,-5.76,-2.87,-2.68,-2.68
11.933949,381557634,6540,0,-6.0,-2.96,-2.68,-2.68
12.50195,382125635,6550,0,-5.76,-2.96,-2.68,-2.68
13.074056,382697741,6560,0,-5.76,-3.05,-2.77,-2.77
13.641947,383265632,6570,0,-5.76,-2.77,-2.59,-2.68
14.209949,383833634,6580,0,-5.76,-2.87,-2.68,-2.77
14.77795,384401635,6590,0,-5.76,-2.77,-2.77,-2.77
17.617948,387241633,6640,0,-6.0,-3.05,-2.68,-2.77
22.165948,391789633,6720,0,-5.76,-2.87,-2.77,-2.77
26.145948,395769633,6790,0,-6.23,-2.87,-2.59,-2.68
26.713948,396337633,6800,0,-5.76,-2.96,-2.59,-2.68
27.281948,396905633,6810,0,-5.76,-2.87,-2.68,-2.77
27.849948,397473633,6820,0,-6.0,-2.87,-2.77,-2.68
28.417948,398041633,6830,0,-5.76,-3.05,-2.68,-2.68
29.553948,399177633,6850,0,-6.0,-2.96,-2.59,-2.68
30.121948,399745633,6860,0,-5.76,-2.96,-2.59,-2.77
30.689947,400313632,6870,0,-5.76,-3.05,-2.77,-2.77
31.257948,400881633,6880,0,-5.76,-2.87,-2.68,-2.77
32.400603,402024288,6900,0,-6.0,-2.96,-2.68,-2.77
32.96895,402592635,6910,0,-6.0,-2.96,-2.59,-2.68
33.536948,403160633,6920,0,-5.76,-2.87,-2.59,-2.77
34.104947,403728632,6930,0,-6.0,-2.96,-2.68,-2.59
35.80895,405432635,6960,0,-5.76,-2.87,-2.59,-2.68
36.376949,406000634,6970,0,-6.0,-2.87,-2.68,-2.68
46.608948,416232633,7150,0,-6.0,-3.05,-2.77,-2.77
48.312947,417936632,7180,0,-5.76,-2.87,-2.59,-2.68
49.448947,419072632,7200,0,-5.76,-2.96,-2.68,-2.68
54.564948,424188633,7290,0,-5.76,-2.96,-2.68,-2.59
56.836948,426460633,7330,0,-5.76,-2.87,-2.59,-2.77
57.978104,427601789,7350,0,-5.76,-2.96,-2.77,-2.68
60.249948,429873633,7390,0,-5.76,-2.96,-2.68,-2.68
60.817947,430441632,7400,0,-6.0,-2.96,-2.77,-2.77
61.385949,431009634,7410,0,-6.0,-2.96,-2.68,-2.68
63.65795,433281635,7450,0,-5.76,-2.96,-2.68,-2.68
64.23004,433853725,7460,0,-5.76,-2.96,-2.59,-2.68
64.797949,434421634,7470,0,-5.76,-2.96,-2.77,-2.77
65.365947,434989632,7480,0,-6.0,-2.87,-2.77,-2.68
65.93395,435557635,7490,0,-5.76,-2.96,-2.77,-2.68
66.501947,436125632,7500,0,-5.76,-2.96,-2.68,-2.77
67.069947,436693632,7510,0,-5.76,-2.96,-2.77,-2.68
67.63795,437261635,7520,0,-5.76,-2.87,-2.68,-2.87
68.205949,437829634,7530,0,-5.76,-2.87,-2.59,-2.68
68.77395,438397635,7540,0,-6.0,-2.87,-2.68,-2.68
69.341947,438965632,7550,0,-6.0,-2.96,-2.68,-2.68
69.90995,439533635,7560,0,-6.0,-3.05,-2.59,-2.68
71.050127,440673812,7580,0,-6.23,-2.87,-2.59,-2.68
71.61795,441241635,7590,0,-5.76,-2.96,-2.68,-2.68
