t_sec,timestamp,seq,solenoids,P_0,P_1,P_2,P_3
0.0,1146632928,20010,0,-5.76,-3.05,-2.87,-2.77
0.567707,1147200635,20020,0,-6.0,-3.05,-2.87,-2.77
1.135703,1147768631,20030,0,-5.76,-3.15,-2.87,-2.77
2.839705,1149472633,20060,0,-5.76,-3.05,-2.87,-2.68
3.407705,1150040633,20070,0,-5.76,-3.05,-2.77,-2.68
3.975707,1150608635,20080,0,-6.0,-3.15,-2.87,-2.77
4.543705,1151176633,20090,0,-6.0,-3.05,-2.77,-2.77
5.111707,1151744635,20100,0,-6.0,-3.05,-2.87,-2.77
6.251533,1152884461,20120,0,-6.0,-3.05,-2.77,-2.77
6.819703,1153452631,20130,0,-5.76,-3.05,-2.87,-2.77
7.955706,1154588634,20150,0,-6.0,-3.05,-2.77,-2.77
8.523703,1155156631,20160,0,-6.0,-3.15,-2.77,-2.68
9.091703,1155724631,20170,0,-6.0,-3.05,-2.87,-2.77
