t_sec,timestamp,seq,solenoids,P_0,P_1,P_2,P_3
0.0,14804633,90,0,-5.76,-2.87,-2.68,-2.77
0.568,15372633,100,0,-5.53,-2.77,-2.68,-2.77
1.136002,15940635,110,0,-5.76,-2.77,-2.59,-2.68
1.717587,16522220,120,0,-5.76,-2.87,-2.68,-2.68
2.286,17090633,130,0,-5.76,-2.87,-2.59,-2.87
2.854,17658633,140,0,-5.76,-2.68,-2.59,-2.59
3.422,18226633,150,0,-5.53,-2.87,-2.49,-2.68
3.99,18794633,160,0,-5.76,-2.87,-2.59,-2.68
4.558,19362633,170,0,-5.53,-2.77,-2.4,-2.68
5.126,19930633,180,0,-5.76,-2.87,-2.59,-2.68
5.694,20498633,190,0,-5.76,-2.96,-2.68,-2.77
6.262,21066633,200,0,-6.0,-2.87,-2.68,-2.68
6.83,21634633,210,0,-5.76,-2.87,-2.59,-2.77
7.398,22202633,220,0,-6.0,-2.87,-2.59,-2.68
8.542,23346633,240,0,-5.76,-2.87,-2.49,-2.68
10.814,25618633,280,0,-5.76,-2.87,-2.59,-2.59
11.95,26754633,300,0,-5.53,-2.87,-2.49,-2.68
12.518,27322633,310,0,-5.76,-2.77,-2.59,-2.68
13.086,27890633,320,0,-5.76,-2.87,-2.59,-2.68
14.229729,29034362,340,0,-6.0,-2.96,-2.68,-2.87
14.798,29602633,350,0,-6.0,-2.87,-2.68,-2.77
15.366,30170633,360,0,-5.76,-2.87,-2.59,-2.68
