timestamp,seq,solenoids,P_0,P_1,P_2,P_3
9679001,0,0000000000000000,0,0,0,0
10378862,20,0000000000000000,0,0,0,0
11078861,40,0000000000000000,0,0,0,0
11778862,60,0000000000000000,0,0,0,0
12478860,80,0000000000000000,0,0,0,0
13178863,100,0000000000000000,0,0,0,0
13878861,120,0000000000000000,0,0,0,0
14578860,140,0000000000000000,0,0,0,0
16000000,160,0000000000000000,0,0,0,0
17000000,170,0000000000000000,0,0,0,0
18000000,180,0000000000000000,0,0,0,0
19000000,190,0000000000000000,0,0,0,0
20000000,200,0000000000000000,0,0,0,0
21000000,210,0000000000000000,0,0,0,0
22000000,220,0000000000000000,0,0,0,0
23000000,230,0000000000000000,0,0,0,0
24000000,240,0000000000000000,0,0,0,0
25000000,250,0000000000000000,0,0,0,0
26000000,260,0000000000000000,0,0,0,0
27000000,270,0000000000000000,0,0,0,0
28000000,280,0000000000000000,0,0,0,0
29000000,290,0000000000000000,0,0,0,0
30000000,300,0000000000000000,0,0,0,0
31000000,310,0000000000000000,0,0,0,0
32000000,320,0000000000000000,0,0,0,0
33000000,330,0000000000000000,0,0,0,0
34000000,340,0000000000000000,0,0,0,0
35000000,350,0000000000000000,0,0,0,0
36000000,360,0000000000000000,0,0,0,0
37000000,370,0000000000000000,0,0,0,0
38000000,380,0000000000000000,0,0,0,0
39000000,390,0000000000000000,0,0,0,0
40000000,400,0000000000000000,0,0,0,0
41000000,410,0000000000000000,0,0,0,0
42000000,420,0000000000000000,0,0,0,0
43000000,430,0000000000000000,0,0,0,0
44000000,440,0000000000000000,0,0,0,0
45000000,450,0000000000000000,0,0,0,0
46000000,460,0000000000000000,0,0,0,0
47000000,470,0000000000000000,0,0,0,0
48000000,480,0000000000000000,0,0,0,0
49000000,490,0000000000000000,0,0,0,0
50000000,500,0000000000000000,0,0,0,0
51000000,510,0000000000000000,0,0,0,0
52000000,520,0000000000000000,0,0,0,0
53000000,530,0000000000000000,0,0,0,0
54000000,540,0000000000000000,0,0,0,0
55000000,550,0000000000000000,0,0,0,0
56000000,560,0000000000000000,0,0,0,0
