timestamp,seq,solenoids,P_0,P_1,P_2,P_3
9682001,0,0000000000000000,2409,2409,2411,2410
10381863,20,0000000000000000,2411,2409,2413,2409
11081863,40,0000000000000000,2409,2410,2413,2408
11781863,60,0000000000000000,2409,2407,2412,2408
12481863,80,0000000000000000,2407,2408,2411,2409
13181863,100,0000000000000000,2409,2407,2410,2407
13881863,120,0000000000000000,2407,2409,2410,2410
14581863,140,0000000000000000,2407,2407,2411,2407
16000000,160,0000000000000000,2409,2406,2412,2409
17000000,170,0000000000000000,2408,2407,2413,2409
18000000,180,0000000000000000,2410,2408,2413,2410
20000000,200,0000000000000000,2409,2407,2413,2410
21000000,210,0000000000000000,2409,2408,2414,2409
22000000,220,0000000000000000,2410,2409,2412,2410
23000000,230,0000000000000000,2409,2408,2413,2411
24000000,240,0000000000000000,2409,2408,2410,2410
25000000,250,0000000000000000,2409,2408,2413,2410
26000000,260,0000000000000000,2409,2407,2418,2409
28000000,280,0000000000000000,2409,2408,2414,2412
29000000,290,0000000000000000,2409,2409,2411,2410
30000000,300,0000000000000000,2409,2408,2411,2409
31000000,310,0000000000000000,2411,2409,2412,2409
32000000,320,0000000000000000,2409,2408,2411,2410
33000000,330,0000000000000000,2410,2409,2411,2410
34000000,340,0000000000000000,2408,2409,2411,2411
35000000,350,0000000000000000,2411,2410,2411,2411
36000000,360,0000000000000000,2410,2409,2413,2410
37000000,370,0000000000000000,2408,2410,2413,2411
38000000,380,0000000000000000,2409,2408,2410,2410
39000000,390,0000000000000000,2410,2409,2411,2410
40000000,400,0000000000000000,2409,2409,2411,2411
41000000,410,0000000000000000,2410,2407,2413,2410
42000000,420,0000000000000000,2410,2408,2411,2409
43000000,430,0000000000000000,2409,2410,2411,2410
44000000,440,0000000000000000,2410,2409,2409,2409
45000000,450,0000000000000000,2411,2409,2410,2409
46000000,460,0000000000000000,2410,2408,2412,2409
47000000,470,0000000000000000,2409,2410,2412,2410
48000000,480,0000000000000000,2410,2408,2411,2409
49000000,490,0000000000000000,2411,2408,2410,2410
50000000,500,0000000000000000,2410,2408,2411,2410
51000000,510,0000000000000000,2410,2408,2411,2411
52000000,520,0000000000000000,2409,2409,2409,2410
53000000,530,0000000000000000,2409,2409,2410,2410
54000000,540,0000000000000000,2409,2406,2413,2409
55000000,550,0000000000000000,2410,2409,2411,2410
56000000,560,0000000000000000,2409,2410,2411,2410
57000000,570,0000000000000000,2409,2409,2411,2410
58000000,580,0000000000000000,2408,2410,2411,2410
59000000,590,0000000000000000,2410,2408,2411,2410
60000000,600,0000000000000000,2409,2409,2411,2409
61000000,610,0000000000000000,2409,2408,2411,2409
62000000,620,0000000000000000,2410,2409,2410,2408
63000000,630,0000000000000000,2410,2407,2412,2410
64000000,640,0000000000000000,2410,2409,2411,2410
65000000,650,0000000000000000,2409,2409,2411,2409
66000000,660,0000000000000000,2409,2408,2411,2410
67000000,670,0000000000000000,2409,2407,2412,2410
68000000,680,0000000000000000,2410,2410,2411,2411
69000000,690,0000000000000000,2408,2410,2412,2410
70000000,700,0000000000000000,2409,2410,2411,2410
71000000,710,0000000000000000,2410,2408,2410,2409
72000000,720,0000000000000000,2409,2409,2411,2408
73000000,730,0000000000000000,2410,2409,2410,2410
74000000,740,0000000000000000,2410,2409,2411,2409
75000000,750,0000000000000000,2410,2410,2411,2410
76000000,760,0000000000000000,2409,2409,2411,2410
77000000,770,0000000000000000,2410,2409,2412,2411
78000000,780,0000000000000000,2409,2408,2411,2409
79000000,790,0000000000000000,2409,2408,2411,2409
80000000,800,0000000000000000,2409,2406,2411,2411
81000000,810,0000000000000000,2410,2408,2413,2408
82000000,820,0000000000000000,2409,2408,2411,2411
83000000,830,0000000000000000,2410,2409,2410,2411
84000000,840,0000000000000000,2409,2408,2411,2409
85000000,850,0000000000000000,2408,2408,2413,2409
86000000,860,0000000000000000,2408,2409,2410,2411
87000000,870,0000000000000000,2410,2409,2411,2410
88000000,880,0000000000000000,2410,2409,2411,2410
89000000,890,0000000000000000,2409,2409,2411,2409
91000000,910,0000000000000000,2409,2407,2414,2411
92000000,920,0000000000000000,2410,2407,2413,2409
9683001,0,0000000000000000,2410,2407,2413,2408
10382863,20,0000000000000000,2410,2410,2412,2409
11082863,40,0000000000000000,2410,2410,2410,2408
