timestamp,seq,solenoids,P_0,P_1,P_2,P_3
48000000,480,0000000000000000,2408,2407,2414,2413
49000000,490,0000000000000000,2407,2407,2414,2411
50000000,500,0000000000000000,2408,2409,2415,2412
51000000,510,0000000000000000,2408,2407,2414,2414
53000000,530,0000000000000000,2407,2407,2414,2412
55000000,550,0000000000000000,2408,2407,2414,2414
57000000,570,0000000000000000,2408,2408,2417,2415
58000000,580,0000000000000000,2409,2407,2415,2413
59000000,590,0000000000000000,2409,2407,2415,2413
60000000,600,0000000000000000,2410,2407,2416,2413
64000000,640,0000000000000000,2411,2408,2415,2414
65000000,650,0000000000000000,2407,2408,2413,2413
66000000,660,0000000000000000,2410,2409,2415,2412
67000000,670,0000000000000000,2408,2408,2416,2414
68000000,680,0000000000000000,2410,2411,2415,2414
69000000,690,0000000000000000,2408,2408,2415,2414
70000000,700,0000000000000000,2411,2408,2414,2413
71000000,710,0000000000000000,2408,2409,2415,2415
73000000,730,0000000000000000,2409,2407,2415,2413
74000000,740,0000000000000000,2407,2407,2415,2414
75000000,750,0000000000000000,2409,2408,2416,2414
76000000,760,0000000000000000,2408,2408,2415,2413
77000000,770,0000000000000000,2406,2407,2413,2414
78000000,780,0000000000000000,2408,2408,2414,2414
79000000,790,0000000000000000,2410,2405,2413,2413
80000000,800,0000000000000000,2409,2407,2414,2413
81000000,810,0000000000000000,2408,2407,2415,2413
82000000,820,0000000000000000,2408,2406,2413,2413
83000000,830,0000000000000000,2407,2407,2416,2414
84000000,840,0000000000000000,2408,2408,2416,2412
85000000,850,0000000000000000,2410,2409,2415,2413
86000000,860,0000000000000000,2407,2406,2415,2413
87000000,870,0000000000000000,2409,2407,2414,2413
88000000,880,0000000000000000,2410,2406,2415,2413
89000000,890,0000000000000000,2409,2407,2413,2413
90000000,900,0000000000000000,2407,2409,2415,2413
91000000,910,0000000000000000,2410,2408,2415,2413
92000000,920,0000000000000000,2410,2407,2414,2413
93000000,930,0000000000000000,2407,2407,2417,2413
94000000,940,0000000000000000,2407,2408,2414,2412
95000000,950,0000000000000000,2411,2408,2415,2413
96000000,960,0000000000000000,2408,2407,2416,2413
97000000,970,0000000000000000,2409,2408,2414,2413
98000000,980,0000000000000000,2409,2410,2415,2413
99000000,990,0000000000000000,2410,2406,2416,2413
100000000,1000,0000000000000000,2409,2407,2415,2414
101000000,1010,0000000000000000,2408,2408,2415,2413
102000000,1020,0000000000000000,2409,2408,2413,2414
103000000,1030,0000000000000000,2408,2408,2414,2412
104000000,1040,0000000000000000,2410,2408,2415,2414
105000000,1050,0000000000000000,2409,2407,2415,2413
106000000,1060,0000000000000000,2408,2407,2414,2415
107000000,1070,0000000000000000,2408,2407,2415,2415
108000000,1080,0000000000000000,2409,2408,2415,2414
109000000,1090,0000000000000000,2409,2406,2414,2414
110000000,1100,0000000000000000,2409,2407,2415,2415
111000000,1110,0000000000000000,2410,2407,2412,2414
112000000,1120,0000000000000000,2407,2407,2414,2414
113000000,1130,0000000000000000,2408,2408,2415,2414
114000000,1140,0000000000000000,2409,2407,2413,2413
115000000,1150,0000000000000000,2407,2407,2417,2415
116000000,1160,0000000000000000,2407,2408,2414,2414
117000000,1170,0000000000000000,2410,2408,2415,2412
118000000,1180,0000000000000000,2408,2408,2415,2414
119000000,1190,0000000000000000,2410,2407,2415,2414
120000000,1200,0000000000000000,2408,2407,2414,2412
121000000,1210,0000000000000000,2409,2408,2415,2414
122000000,1220,0000000000000000,2410,2407,2415,2414
123000000,1230,0000000000000000,2410,2408,2415,2413
124000000,1240,0000000000000000,2407,2407,2415,2415
125000000,1250,0000000000000000,2408,2408,2415,2413
126000000,1260,0000000000000000,2407,2407,2415,2412
127000000,1270,0000000000000000,2408,2409,2413,2414
128000000,1280,0000000000000000,2410,2408,2415,2414
129000000,1290,0000000000000000,2408,2409,2415,2414
130000000,1300,0000000000000000,2409,2408,2416,2413
131000000,1310,0000000000000000,2408,2407,2414,2414
132000000,1320,0000000000000000,2409,2408,2415,2412
133000000,1330,0000000000000000,2407,2408,2415,2415
134000000,1340,0000000000000000,2408,2408,2415,2414
135000000,1350,0000000000000000,2408,2406,2415,2414
136000000,1360,0000000000000000,2409,2408,2415,2414
137000000,1370,0000000000000000,2409,2407,2414,2414
138000000,1380,0000000000000000,2410,2407,2415,2414
139000000,1390,0000000000000000,2409,2408,2415,2415
140000000,1400,0000000000000000,2407,2409,2414,2412
141000000,1410,0000000000000000,2410,2408,2413,2413
142000000,1420,0000000000000000,2408,2408,2415,2415
143000000,1430,0000000000000000,2408,2406,2413,2414
144000000,1440,0000000000000000,2410,2407,2415,2412
145000000,1450,0000000000000000,2409,2408,2415,2414
146000000,1460,0000000000000000,2408,2407,2414,2413
147000000,1470,0000000000000000,2409,2407,2414,2413
148000000,1480,0000000000000000,2410,2408,2413,2412
149000000,1490,0000000000000000,2409,2407,2413,2413
150000000,1500,0000000000000000,2409,2408,2414,2413
151000000,1510,0000000000000000,2408,2408,2413,2414
152000000,1520,0000000000000000,2408,2408,2414,2413
153000000,1530,0000000000000000,2407,2407,2415,2413
154000000,1540,0000000000000000,2409,2408,2413,2414
155000000,1550,0000000000000000,2409,2410,2415,2413
156000000,1560,0000000000000000,2408,2408,2415,2412
157000000,1570,0000000000000000,2407,2407,2414,2414
158000000,1580,0000000000000000,2410,2407,2415,2413
159000000,1590,0000000000000000,2409,2406,2413,2415
160000000,1600,0000000000000000,2409,2407,2415,2413
161000000,1610,0000000000000000,2408,2407,2416,2413
162000000,1620,0000000000000000,2410,2408,2414,2413
163000000,1630,0000000000000000,2407,2407,2413,2412
164000000,1640,0000000000000000,2408,2407,2413,2413
165000000,1650,0000000000000000,2408,2408,2413,2413
166000000,1660,0000000000000000,2409,2408,2413,2414
167000000,1670,0000000000000000,2410,2408,2415,2414
168000000,1680,0000000000000000,2407,2408,2414,2413
