timestamp,seq,solenoids,P_0,P_1,P_2,P_3,T_0,LC_0
576000000,5760,0000000000000000,2638,2637,2642,2640,21930,21056
578000000,5780,0000000000000000,2638,2638,2640,2641,21930,54976
580000000,5800,0000000000000000,2637,2638,2642,2640,21930,23360
582000000,5820,0000000000000000,2638,2638,2641,2640,21930,57280
584000000,5840,0000000000000000,2637,2636,2641,2640,21930,25664
586000000,5860,0000000000000000,2638,2637,2641,2639,21930,59584
588000000,5880,0000000000000000,2636,2638,2641,2640,21930,27968
590000000,5900,0000000000000000,2639,2636,2642,2640,21930,61888
592000000,5920,0000000000000000,2638,2637,2641,2641,21930,30272
594000000,5940,0000000000000000,2637,2637,2641,2640,21930,64192
596000000,5960,0000000000000000,2637,2638,2641,2641,21930,32576
598000000,5980,0000000000000000,2638,2638,2641,2639,21930,960
600000000,6000,0000000000000000,2637,2638,2641,2639,21930,34880
602000000,6020,0000000000000000,2637,2637,2642,2640,21930,3264
604000000,6040,0000000000000000,2637,2638,2641,2641,21930,5568
608000000,6080,0000000000000000,2638,2638,2642,2641,21930,39488
610000000,6100,0000000000000000,2636,2637,2641,2639,21930,7872
613000000,6130,0000000000000000,2637,2636,2642,2641,21930,58752
616000000,6160,0000000000000000,2637,2637,2642,2640,21930,44096
618000000,6180,0000000000000000,2636,2637,2642,2641,21930,12480
620000000,6200,0000000000000000,2638,2638,2642,2641,21930,46400
622000000,6220,0000000000000000,2639,2637,2641,2641,21930,14784
624000000,6240,0000000000000000,2638,2638,2642,2640,21930,48704
626000000,6260,0000000000000000,2637,2637,2641,2639,21930,17088
