timestamp,seq,solenoids,P_0,P_1,P_2,P_3
2054000000,20540,0000000000000000,2422,2422,2421,2421
2055000000,20550,0000000000000000,2421,2421,2419,2421
2056000000,20560,0000000000000000,2421,2422,2421,2420
2057000000,20570,0000000000000000,2421,2421,2420,2420
2058000000,20580,0000000000000000,2422,2421,2420,2421
2059000000,20590,0000000000000000,2422,2422,2420,2421
2060000000,20600,0000000000000000,2422,2422,2420,2420
2061000000,20610,0000000000000000,2422,2422,2421,2420
2062000000,20620,0000000000000000,2421,2421,2420,2421
2063000000,20630,0000000000000000,2421,2422,2420,2421
2064000000,20640,0000000000000000,2421,2421,2420,2421
2065000000,20650,0000000000000000,2421,2422,2420,2420
2066000000,20660,0000000000000000,2421,2421,2420,2420
2067000000,20670,0000000000000000,2422,2422,2420,2421
2068000000,20680,0000000000000000,2421,2422,2420,2421
2069000000,20690,0000000000000000,2421,2422,2420,2421
2070000000,20700,0000000000000000,2422,2421,2420,2421
2071000000,20710,0000000000000000,2421,2422,2421,2420
2072000000,20720,0000000000000000,2421,2422,2421,2420
2073000000,20730,0000000000000000,2421,2420,2421,2421
2074000000,20740,0000000000000000,2422,2421,2420,2420
2075000000,20750,0000000000000000,2421,2422,2420,2422
2076000000,20760,0000000000000000,2421,2421,2421,2421
2077000000,20770,0000000000000000,2422,2421,2420,2421
2078000000,20780,0000000000000000,2422,2422,2420,2420
2079000000,20790,0000000000000000,2422,2422,2420,2420
2080000000,20800,0000000000000000,2421,2423,2420,2421
2081000000,20810,0000000000000000,2421,2421,2420,2420
2082000000,20820,0000000000000000,2421,2422,2420,2420
2083000000,20830,0000000000000000,2422,2422,2421,2421
2084000000,20840,0000000000000000,2421,2421,2419,2420
2085000000,20850,0000000000000000,2421,2422,2420,2421
2086000000,20860,0000000000000000,2422,2421,2420,2421
2087000000,20870,0000000000000000,2421,2421,2420,2420
2088000000,20880,0000000000000000,2422,2421,2420,2420
2089000000,20890,0000000000000000,2422,2421,2421,2420
2090000000,20900,0000000000000000,2421,2421,2420,2420
2091000000,20910,0000000000000000,2421,2423,2420,2421
2092000000,20920,0000000000000000,2422,2422,2420,2420
2093000000,20930,0000000000000000,2420,2421,2421,2421
