timestamp,seq,solenoids,P_0,P_1,P_2,P_3
9712001,0,0000000000000000,2421,2422,2420,2421
10411863,20,0000000000000000,2422,2421,2421,2421
11111863,40,0000000000000000,2421,2422,2420,2421
11811863,60,0000000000000000,2421,2421,2420,2421
12511863,80,0000000000000000,2421,2421,2420,2421
13211863,100,0000000000000000,2421,2421,2420,2421
13911863,120,0000000000000000,2421,2422,2421,2420
14611863,140,0000000000000000,2420,2421,2420,2420
16000000,160,0000000000000000,2421,2422,2421,2420
17000000,170,0000000000000000,2421,2422,2421,2421
18000000,180,0000000000000000,2421,2422,2420,2421
19000000,190,0000000000000000,2421,2421,2420,2420
20000000,200,0000000000000000,2421,2422,2421,2420
21000000,210,0000000000000000,2421,2422,2420,2421
22000000,220,0000000000000000,2420,2421,2421,2420
23000000,230,0000000000000000,2421,2421,2420,2420
24000000,240,0000000000000000,2421,2421,2420,2420
25000000,250,0000000000000000,2421,2422,2420,2420
26000000,260,0000000000000000,2421,2421,2421,2421
27000000,270,0000000000000000,2421,2421,2420,2420
28000000,280,0000000000000000,2421,2422,2421,2420
29000000,290,0000000000000000,2421,2422,2420,2421
30000000,300,0000000000000000,2421,2421,2420,2420
31000000,310,0000000000000000,2421,2422,2421,2420
32000000,320,0000000000000000,2421,2421,2421,2421
33000000,330,0000000000000000,2421,2422,2420,2420
34000000,340,0000000000000000,2421,2422,2420,2420
35000000,350,0000000000000000,2422,2422,2420,2420
36000000,360,0000000000000000,2421,2421,2420,2420
37000000,370,0000000000000000,2421,2422,2419,2420
38000000,380,0000000000000000,2422,2421,2420,2421
39000000,390,0000000000000000,2421,2422,2420,2421
40000000,400,0000000000000000,2421,2422,2420,2420
41000000,410,0000000000000000,2420,2421,2421,2421
42000000,420,0000000000000000,2421,2421,2420,2420
43000000,430,0000000000000000,2421,2422,2420,2421
44000000,440,0000000000000000,2421,2421,2420,2421
45000000,450,0000000000000000,2421,2422,2420,2421
46000000,460,0000000000000000,2421,2422,2420,2421
47000000,470,0000000000000000,2421,2422,2420,2421
