timestamp,seq,solenoids,P_0,P_1,P_2,P_3,T_0,LC_0
513000000,5130,0000000000000000,2637,2638,2641,2641,21930,1152
515000000,5150,0000000000000000,2637,2636,2642,2640,21930,35072
517000000,5170,0000000000000000,2638,2638,2643,2640,21930,3456
519000000,5190,0000000000000000,2638,2638,2642,2640,21930,37376
521000000,5210,0000000000000000,2638,2638,2642,2640,21930,5760
523000000,5230,0000000000000000,2637,2637,2641,2640,21930,39680
525000000,5250,0000000000000000,2637,2638,2642,2639,21930,8064
527000000,5270,0000000000000000,2638,2638,2641,2641,21930,41984
529000000,5290,0000000000000000,2638,2638,2642,2641,21930,10368
531000000,5310,0000000000000000,2638,2638,2641,2640,21930,44288
533000000,5330,0000000000000000,2637,2638,2641,2641,21930,12672
535000000,5350,0000000000000000,2638,2638,2642,2640,21930,46592
537000000,5370,0000000000000000,2638,2638,2641,2641,21930,14976
539000000,5390,0000000000000000,2638,2638,2642,2640,21930,48896
541000000,5410,0000000000000000,2638,2638,2641,2640,21930,17280
543000000,5430,0000000000000000,2637,2637,2640,2640,21930,51200
545000000,5450,0000000000000000,2638,2637,2642,2641,21930,19584
547000000,5470,0000000000000000,2637,2638,2642,2639,21930,53504
549000000,5490,0000000000000000,2637,2638,2642,2640,21930,21888
551000000,5510,0000000000000000,2638,2639,2641,2641,21930,55808
553000000,5530,0000000000000000,2638,2638,2642,2640,21930,24192
555000000,5550,0000000000000000,2637,2636,2641,2640,21930,58112
557000000,5570,0000000000000000,2639,2638,2640,2640,21930,26496
559000000,5590,0000000000000000,2638,2638,2641,2639,21930,60416
561000000,5610,0000000000000000,2637,2638,2642,2641,21930,28800
563000000,5630,0000000000000000,2637,2638,2641,2640,21930,62720
565000000,5650,0000000000000000,2638,2637,2641,2640,21930,31104
567000000,5670,0000000000000000,2638,2638,2641,2641,21930,65024
569000000,5690,0000000000000000,2637,2638,2641,2640,21930,33408
571000000,5710,0000000000000000,2637,2638,2642,2640,21930,1792
