timestamp,seq,solenoids,P_0,P_1,P_2,P_3
36000000,360,0000000000000000,2638,2637,4629,3475
37000000,370,0000000000000000,2638,2637,4628,3476
38000000,380,0000000000000000,2639,2639,4630,3475
39000000,390,0000000000000000,2638,2638,4629,3476
40000000,400,0000000000000000,2639,2639,4630,3474
41000000,410,0000000000000000,2640,2639,4628,3474
42000000,420,0000000000000000,2637,2639,4630,3476
43000000,430,0000000000000000,2639,2639,4627,3474
44000000,440,0000000000000000,2637,2638,4629,3475
45000000,450,0000000000000000,2638,2638,4630,3475
46000000,460,0000000000000000,2638,2637,4628,3473
47000000,470,0000000000000000,2638,2640,4629,3475
48000000,480,0000000000000000,2639,2638,4629,3474
49000000,490,0000000000000000,2637,2640,4629,3474
50000000,500,0000000000000000,2638,2639,4631,3475
51000000,510,0000000000000000,2637,2639,4628,3475
52000000,520,0000000000000000,2639,2639,4628,3474
53000000,530,0000000000000000,2639,2639,4629,3475
54000000,540,0000000000000000,2639,2639,4628,3472
55000000,550,0000000000000000,2637,2641,4630,3475
56000000,560,0000000000000000,2638,2638,4628,3472
57000000,570,0000000000000000,2638,2638,4630,3475
58000000,580,0000000000000000,2638,2636,4629,3475
59000000,590,0000000000000000,2638,2636,4629,3473
60000000,600,0000000000000000,2640,2639,4630,3473
61000000,610,0000000000000000,2639,2638,4629,3474
62000000,620,0000000000000000,2638,2637,4629,3475
63000000,630,0000000000000000,2637,2637,4628,3474
64000000,640,0000000000000000,2638,2635,4629,3473
65000000,650,0000000000000000,2640,2637,4627,3474
66000000,660,0000000000000000,2639,2639,4629,3472
67000000,670,0000000000000000,2639,2637,4630,3471
68000000,680,0000000000000000,2640,2638,4629,3473
69000000,690,0000000000000000,2639,2638,4628,3473
70000000,700,0000000000000000,2638,2637,4629,3473
71000000,710,0000000000000000,2639,2638,4628,3474
72000000,720,0000000000000000,2638,2637,4627,3473
73000000,730,0000000000000000,2638,2638,4629,3473
74000000,740,0000000000000000,2638,2640,4627,3471
75000000,750,0000000000000000,2638,2639,4631,3470
76000000,760,0000000000000000,2638,2637,4628,3472
77000000,770,0000000000000000,2640,2639,4627,3472
78000000,780,0000000000000000,2639,2638,4628,3476
79000000,790,0000000000000000,2638,2638,4628,3470
80000000,800,0000000000000000,2636,2637,4627,3471
81000000,810,0000000000000000,2639,2639,4629,3472
82000000,820,0000000000000000,2639,2638,4629,3474
83000000,830,0000000000000000,2640,2639,4630,3471
84000000,840,0000000000000000,2639,2638,4630,3471
85000000,850,0000000000000000,2638,2639,4630,3472
86000000,860,0000000000000000,2638,2637,4628,3473
87000000,870,0000000000000000,2638,2636,4630,3472
88000000,880,0000000000000000,2640,2637,4627,3471
89000000,890,0000000000000000,2638,2639,4628,3469
90000000,900,0000000000000000,2639,2639,4629,3470
91000000,910,0000000000000000,2638,2638,4628,3470
92000000,920,0000000000000000,2639,2637,4629,3472
93000000,930,0000000000000000,2641,2638,4629,3472
94000000,940,0000000000000000,2637,2639,4628,3470
95000000,950,0000000000000000,2639,2637,4630,3472
96000000,960,0000000000000000,2639,2638,4628,3471
