timestamp,seq,solenoids,P_0,P_1,P_2,P_3,T_0,LC_0
19000000,190,0000000000000000,2638,2639,4632,3487,21930,11520
21000000,210,0000000000000000,2639,2637,4629,3490,21930,45440
23000000,230,0000000000000000,2639,2640,4631,3487,21930,13824
25000000,250,0000000000000000,2642,2638,4631,3487,21930,47744
27000000,270,0000000000000000,2639,2638,4629,3489,21930,16128
29000000,290,0000000000000000,2637,2639,4630,3488,21930,50048
31000000,310,0000000000000000,2638,2638,4631,3486,21930,18432
33000000,330,0000000000000000,2638,2639,4631,3488,21930,52352
35000000,350,0000000000000000,2639,2637,4631,3486,21930,20736
37000000,370,0000000000000000,2639,2639,4629,3486,21930,54656
39000000,390,0000000000000000,2638,2639,4630,3487,21930,23040
41000000,410,0000000000000000,2637,2638,4632,3487,21930,56960
43000000,430,0000000000000000,2636,2636,4629,3487,21930,25344
45000000,450,0000000000000000,2638,2638,4630,3486,21930,59264
47000000,470,0000000000000000,2639,2637,4630,3487,21930,27648
49000000,490,0000000000000000,2639,2639,4630,3484,21930,61568
51000000,510,0000000000000000,2639,2638,4628,3485,21930,29952
53000000,530,0000000000000000,2639,2639,4632,3483,21930,63872
55000000,550,0000000000000000,2638,2638,4629,3485,21930,32256
57000000,570,0000000000000000,2640,2638,4630,3484,21930,640
59000000,590,0000000000000000,2640,2638,4631,3485,21930,34560
61000000,610,0000000000000000,2640,2638,4631,3484,21930,2944
63000000,630,0000000000000000,2638,2638,4628,3483,21930,36864
65000000,650,0000000000000000,2638,2639,4628,3485,21930,5248
67000000,670,0000000000000000,2638,2639,4629,3485,21930,39168
69000000,690,0000000000000000,2637,2638,4630,3482,21930,7552
