timestamp,seq,solenoids,P_0,P_1,P_2,P_3
13802863,120,0000000000000000,2639,2638,4627,3422
14502863,140,0000000000000000,2640,2638,4627,3421
15000000,150,0000000000000000,2638,2638,4627,3421
16000000,160,0000000000000000,2639,2638,4627,3420
17000000,170,0000000000000000,2638,2639,4628,3420
18000000,180,0000000000000000,2639,2638,4628,3420
19000000,190,0000000000000000,2638,2637,4628,3420
20000000,200,0000000000000000,2639,2637,4628,3420
22000000,220,0000000000000000,2639,2638,4627,3420
23000000,230,0000000000000000,2639,2638,4628,3420
24000000,240,0000000000000000,2639,2637,4629,3420
26000000,260,0000000000000000,2639,2637,4627,3420
27000000,270,0000000000000000,2638,2638,4627,3419
29000000,290,0000000000000000,2640,2639,4627,3420
30000000,300,0000000000000000,2638,2638,4628,3419
32000000,320,0000000000000000,2639,2639,4630,3420
33000000,330,0000000000000000,2637,2637,4628,3418
34000000,340,0000000000000000,2640,2639,4629,3418
35000000,350,0000000000000000,2639,2638,4629,3418
36000000,360,0000000000000000,2639,2637,4626,3420
37000000,370,0000000000000000,2638,2638,4628,3418
38000000,380,0000000000000000,2638,2638,4628,3417
39000000,390,0000000000000000,2638,2638,4628,3417
40000000,400,0000000000000000,2638,2637,4626,3419
41000000,410,0000000000000000,2640,2638,4628,3420
42000000,420,0000000000000000,2638,2638,4629,3418
43000000,430,0000000000000000,2638,2637,4627,3419
44000000,440,0000000000000000,2638,2639,4627,3419
45000000,450,0000000000000000,2638,2638,4627,3418
46000000,460,0000000000000000,2638,2638,4624,3419
47000000,470,0000000000000000,2641,2636,4628,3419
48000000,480,0000000000000000,2640,2638,4629,3418
49000000,490,0000000000000000,2638,2638,4627,3417
50000000,500,0000000000000000,2638,2637,4628,3419
51000000,510,0000000000000000,2639,2638,4628,3417
52000000,520,0000000000000000,2639,2638,4628,3416
53000000,530,0000000000000000,2637,2637,4627,3415
54000000,540,0000000000000000,2638,2637,4627,3419
55000000,550,0000000000000000,2641,3101,4627,3416
56000000,560,0000000000000000,2638,3069,4628,3416
57000000,570,0000000000000000,2639,3041,4627,3416
58000000,580,0000000000000000,2637,3017,4628,3417
59000000,590,0000000000000000,2638,2996,4627,3416
60000000,600,0000000000000000,2639,2978,4628,3417
61000000,610,0000000000000000,2639,2963,4627,3417
62000000,620,0000000000000000,2638,2949,4626,3416
63000000,630,0000000000000000,2639,2936,4627,3416
64000000,640,0000000000000000,2638,2926,4628,3416
65000000,650,0000000000000000,2637,2916,4628,3415
66000000,660,0000000000000000,2640,2906,4628,3415
67000000,670,0000000000000000,2638,2900,4628,3416
68000000,680,0000000000000000,2637,2890,4627,3415
69000000,690,0000000000000000,2639,2883,4628,3416
70000000,700,0000000000000000,2638,2877,4627,3416
71000000,710,0000000000000000,2637,2868,4627,3416
72000000,720,0000000000000000,2638,2862,4627,3414
73000000,730,0000000000000000,2639,2856,4628,3417
74000000,740,0000000000000000,2638,2849,4627,3415
75000000,750,0000000000000000,2638,2844,4629,3414
76000000,760,0000000000000000,2637,2838,4627,3415
77000000,770,0000000000000000,2638,2833,4628,3415
78000000,780,0000000000000000,2638,2828,4627,3414
79000000,790,0000000000000000,2639,2824,4627,3414
80000000,800,0000000000000000,2638,2870,4628,3414
81000000,810,0000000000000000,2639,2865,4628,3414
82000000,820,0000000000000000,2639,2861,4628,3414
83000000,830,0000000000000000,2639,2826,4627,3414
84000000,840,0000000000000000,2638,2774,4628,3415
85000000,850,0000000000000000,2638,2735,4628,3413
86000000,860,0000000000000000,2639,2704,4625,3414
87000000,870,0000000000000000,2639,2674,4626,3413
88000000,880,0000000000000000,2638,2656,4626,3413
89000000,890,0000000000000000,2639,2645,4627,3413
90000000,900,0000000000000000,2639,2640,4628,3412
91000000,910,0000000000000000,2638,2638,4628,3412
92000000,920,0000000000000000,2639,2640,4627,3412
93000000,930,0000000000000000,2638,2638,4628,3412
94000000,940,0000000000000000,2638,2638,4628,3411
95000000,950,0000000000000000,2639,2639,4628,3413
96000000,960,0000000000000000,2639,2638,4627,3412
97000000,970,0000000000000000,2639,2640,4628,3412
98000000,980,0000000000000000,2641,2637,4627,3413
99000000,990,0000000000000000,2639,2638,4627,3410
100000000,1000,0000000000000000,2638,2638,4627,3412
101000000,1010,0000000000000000,2639,2639,4626,3412
102000000,1020,0000000000000000,2638,2637,4626,3412
103000000,1030,0000000000000000,2639,2638,4626,3412
104000000,1040,0000000000000000,2638,2638,4627,3411
105000000,1050,0000000000000000,2638,2638,4627,3412
106000000,1060,0000000000000000,2638,2638,4626,3410
107000000,1070,0000000000000000,2639,2638,4626,3411
108000000,1080,0000000000000000,2638,2639,4625,3412
109000000,1090,0000000000000000,2638,2637,4626,3411
110000000,1100,0000000000000000,2637,2638,4626,3412
111000000,1110,0000000000000000,2638,2637,4627,3410
112000000,1120,0000000000000000,2638,2637,4626,3411
113000000,1130,0000000000000000,2637,2638,4626,3409
114000000,1140,0000000000000000,2637,2637,4627,3411
115000000,1150,0000000000000000,2639,2637,4626,3410
116000000,1160,0000000000000000,2637,2638,4627,3410
117000000,1170,0000000000000000,2637,2638,4626,3411
118000000,1180,0000000000000000,2637,2637,4628,3411
119000000,1190,0000000000000000,2639,2639,4627,3410
120000000,1200,0000000000000000,2638,2636,4627,3409
121000000,1210,0000000000000000,2638,2638,4628,3411
122000000,1220,0000000000000000,2638,2638,4626,3410
11478001,0,0000000000000000,2638,2638,4629,3403
12177863,20,0000000000000000,2640,2637,4628,3401
12877863,40,0000000000000000,2639,2637,4628,3404
13577863,60,0000000000000000,2638,2638,4626,3403
14277862,80,0000000000000000,2639,2639,4627,3402
14977862,100,0000000000000000,2639,2638,4626,3403
15677862,120,0000000000000000,2640,2638,4627,3401
16377862,140,0000000000000000,2638,2638,4626,3401
17077862,160,0000000000000000,2638,2638,4626,3401
19000000,190,0000000000000000,2639,2638,4136,3432
20000000,200,0000000000000000,2638,2638,3500,3311
21000000,210,0000000000000000,2640,2639,2995,2987
22000000,220,0000000000000000,2638,2639,2772,2770
23000000,230,0000000000000000,2638,2638,2671,2668
24000000,240,0000000000000000,2640,2638,2646,2642
25000000,250,0000000000000000,2638,2639,2641,2641
27000000,270,0000000000000000,2640,2637,2642,2641
28000000,280,0000000000000000,2640,2637,2642,2640
29000000,290,0000000000000000,2639,2637,2642,2642
30000000,300,0000000000000000,2638,2638,2642,2641
